,favorites,recommendations,requirements,assessorUnderstanding,feedbackRating,ratingDescription,helpfulWays,draftChanges,techniqueErrorsRating,techniqueErrorsDescription,structureSuggestionsRating,structureSuggestionsDescription,substanceCommentsSuggestionsRating,substanceCommentsDescription,q_articulation,q_thewhy,q_specificity,q_tone,q_technique,q_structure,q_substance
184,I liked that the understandings were geared towards student demonstrations of understanding.,"Are there things students will need to know other than the key terms in order to fully understand this unit?, Would it be helpful to identify what the key terms mean in addition to listing them?, Could some of your understandings lead you to more things that students will need to know? Do they need to know how genetic variation occurs in dominant and recessive genes in order to model them?",This person followed the outline set forth in the book and online. All of their boxes are filled out and they make sense.,I can tell my assessor understood what I was intending because they used specific language relevant to the unit plan that was not explicitly mentioned in my unit.,1.0,I thought my assessor gave good guidance.,This assessment was helpful because it suggests that I can broaden and strengthen the sub-objectives for knowledge that my students will need to know and understand.,I will broaden the knowledge portion of my draft and include more objectives.,4.0,The assessor provided helpful suggestions for improvement.,3.0,The assessor did not mention much about the structure of my work.,5.0,My assessor gave me a lot of useful points to ponder and relevant criteria to include.,4.5,2.5,3.5,4.0,2.5,1.5,4.5
201,I love how creative it is!,"Rather than saying ""something will be done,"" could you try to do it and include a rough draft here? That might help you think through this if you're actually going to do it :), How will you ensure that students come out of this awesome activity aware of what exactly they learned? I.e. how will you make the standard explicit without stripping the fun?, This is a great way to engage the artistic kids, but how will you cater to the classic-students too, who like multiple choice tests and straight forward assignments? Perhaps with the roles? Those are a great idea! ","THIS IS AWESOME! I read through the first four lines and was like ""I'm in, where do I sign up, but how the heck does this connect to content?"" Then I read your standard and my jaw dropped. Fantastic! You have a clear goal, aligned to the standard, that assesses student understanding in a hugely authentic way.",Totally hit on the connection between standards and what students are being asked to do and why.,1.0,"Again, helpful questions make me feel happy. These questions were well thought out and I feel as though I am sitting across from my reviewer as I read them.","Really great extension questions for me to think about as I go back in and revise. I want to make sure this final project is all inclusive and representative of student learning, so the fact that my peer reviewer has questions about it means it wasn't clear enough in my draft.","I'm definitely going back in to the evaluation criteria of the final project to specify some more. I want to make sure this final project is all inclusive and representative of student learning, so the fact that my peer reviewer has questions about it means it wasn't clear enough in my draft.",1.0,"They are not prompted to check this area, so obviously they won't make note of it in their feedback.",1.0,"They are not prompted to check this area, so obviously they won't make note of it in their feedback.",3.0,Good questions bring about good suggestions for improvements!,4.5,5.0,4.5,5.0,3.0,2.0,4.5
202,I really enjoyed the idea of this lesson and how this part of the lesson is a problem based learning exercise. Students will have to fully understand equations and inequalities to be able to solve the Adidas scenario.,"Where did the Adidas idea come from? , How will students show they have mastered the concept? , What kind of extension will there be? ",All the required sections for this particular assignment were filled in and met the requirements for the rubric.,"In their review, they addressed my topic and how it connected to the final project on Adidas.",1.0,I put positive because this person actually asked good questions to help me go back and revise my final draft.,"Yes, this person has addressed some gaps in my final project--I wasn't clear enough in the evaluation criteria, so I need to go back and explain how students will show they mastered the concept.","I will revise evaluation criteria and come up with accommodations for ESL, ESS, and gifted students.",1.0,"Wasn't specified anywhere that they needed to focus on this, so obviously they didn't.",5.0,"Again, good questions posed to help me go back and improve the specificity of the final project.",2.0,"There isn't really a space for them to suggest improvement outside of the questions. So if anything, their last two questions identified a gap in my Stage 2 that I need to revise.",4.5,2.0,3.0,4.5,1.0,2.5,4.0
221,I like that there was more detail in the calendar section.,"I see resources at the end, are these your resources for the lesson? Or do you have further resources? , Are your numbers a little off in your calendar? , Could you maybe add more open-ended questions to engage students?",Draft follows the expected requirements for stage three,I do not think that they understood very well or interpretted my calendar correctly.,0.0,I do not think that my assessor spent very much time or energy in writing this response.,This assessment was affirming in its ability to positively comment.,"I will be adding the rest of my resources, adding my open-ended engaging questions and looking at my calendar to figure out what they mean by numbers. ",3.0,"It's a grad school class so grammar should not be a problem, but this assessor didn't mention it. ",2.0,"They were medium helpful, but not very specific, so I didn't feel like I had a direction for all of their questions. Particularly their second question was vague and weak. ",3.0,"They were vaguely helpful, but not particularly specific. ",4.0,2.0,4.5,3.5,3.0,2.5,3.0
222,I enjoyed the interactive activities using labs and modules for students to have a more hands-on approach to learning!,"Is there a way to add your WHERETO specifically to each assignment so it is easier to identify which connects to each activity?, Is there a way to number your activities so it is easier to follow each day? The calendar seems to simply be M-F with lots of sections within each day!, Is there a list of extra curriculum resources you used and their descriptions, rather than pasting in the activity, that you can add to the end of stage 3?","Most activities have WHERETO. Most activities described in some detail. The activities somewhat flow together, organization of the lesson plan could use more detail for each activity so there is specificity to what the students will be doing.",They seemed to get the spirit of the activities and generally were strong in their ability to highlight the weaker elements of organization.,1.0,They were explicit and helpful,"The assessment was very detailed and explicit in their feedback, I knew exactly what they were talking about ",I will fix my calendar and add my resources.,3.0,This question is largely irrelevant for grad school level classes.,5.0,They were very helpful and explicit in their reflections on my work.,5.0,"They highlighted, very explicitly what I could improve upon. ",4.0,4.5,5.0,4.5,2.0,4.5,4.0
252,"I like that the necessary equations are present and easily understood, along with the values used to make your approximation. I also like that you included factors that will cause errors in your calculation, such as ocean salinity and radiogenic heating.","Could you provide links to source material used in your calculations?, With your answer being as surprising as it is, how does the work done in the literature compare to what you have gotten? (assuming there are likely similar calculations done somewhere), Why did you chose to use radiogenic heating as a way to provide the energy instead of approximating the tidal heating required?","I am not entirely sure what the exact requirements of the assignment are. However, the question and answer submitted asks a difficult questions ""How large of a geothermal energy budget is needed to maintain a subsurface liquid water ocean on an icy world far from stellar energy sources?"", but one that could be partially answered by exploring the literature and doing a back-of-the-hand approximation and he does just that.",The assessor seems to have understood it pretty well.,0.0,I don't know. It's just an assessment.,It pointed out some things I did well and some ways in which I can improve for the next draft.,I will likely add more references for a variety of reasons and try to address tidal heating and other variations in more detail than my original draft.,5.0,"There were comments about how I presented the math, the numerical values, and my references for those values.",1.0,I'm not sure whether the peer suggested anything like this.,5.0,There are comments about several ways in which I could expand the scope of the work and compare it to existing literature.,4.5,3.0,3.0,4.5,2.0,1.0,2.5
264,"Explained well and is a very unique topic. There is a lot of information in this one page, but could include more personal insight to help understand how this relates to the NNQ and how we might use this knowledge to pursue new information towards our goal.","What was the NNQ?, How will this guide additional research?, What are the key takeaways?",Format and content look to meet requirements. May need to add citation and would prefer a conclusion paragraph.,"They said that the summary met the requirements, except for the lack of citation, and that it was explained well.",1.0,The feedback was not hurtful in anyway and provided useful and easy to understand fixes for making my summary more clear.,"The feedback shows that it would make my summary more clear if I included the NNQ and included a conclusion paragraph to sum things up, although it was difficult to fit that because the other sections required sufficient details to summarize them.","I will try to include a conclusion paragraph by cutting down the other sections, which will provide a summary of the key takeaways, and also include the NNQ to guide the reader to understand what the paper is answering in relation to the class.",3.0,"There was no mention of these types of errors, so I cannot say whether it was helpful or not.",3.0,"There was no mention of structural problems, so I cannot say whether it was helpful or not.",5.0,They mentioned that including the NNQ and also a conclusion paragraph would help guide the reader in understanding what the paper is seeking to answer and also the takeaways from the paper.,4.5,3.5,3.5,3.5,2.5,2.5,3.0
277,I really liked how you started out with a synopsis of the article and then went on to explain the significance of the passages as you went along.,"How did you make sure you were translating 200 words?, How did the Nicaraguan insurrection go down? , In the 2nd to last paragraph, what novel are you talking about and 27 of what are now functioning?",Very good translation and analysis of the article. Also very good job of incorporating the quotes seamlessly into your text.,Yes I can.,1.0,It let me know that I have improved and gained knowledge through the class.,The questions really help with the information that I missed in my translation.,I will add the missing information so that the person reading will have a solid translation.,5.0,The assessor was specific.,5.0,The questions really helped me identify things I need to improve.,5.0,"Same as about, it really helped me to hear what I had missed in the analysis. ",4.0,2.0,4.0,4.5,2.5,3.0,4.0
284,I really liked how Joshua went into detail about why he chose the article. I like how he talked about difficult words that he had trouble with and what those difficult words meant. He let the reader know exactly why he chose the paragraph and what it meant to him.,"How did you go about finding the difficult words?, Could you explain a bit more about the paragraphs meaning to you?, What was the over all summary of the original article? ","This draft did a great job of following the requirements of the assignments. Joshua translated a whole paragraph and after the translated paragraph, explained why he went about the translation. He detailed why he chose it and what brought him to want to translate it. These are the exact requirements from the instructions. Great Job! ",Their questions indicate that they read,0.0,"I don't feel emotionally invested in this particular assignment, so, while I appreciate the positive review, it's not impacting my emotional state.",Confirmation,I won't change it because the assignment is complete.,3.0,"They didn't catch any, but that wasn't the point.",4.0,Their questions were insightful and geared toward helping me improve.,4.0,Their questions were insightful and geared toward helping me improve.,5.0,1.0,2.5,5.0,1.0,1.0,3.5
288,The English translation was very readable and was well done.,"What other way could you have translated ""Diosita""? , Should the subjunctive be translated the same way into English for each occurrence? , Could the word order when translated be rearranged in certain parts? Like "",said Bottéro,"" going in the middle of the sentence. ",The student explained the themes and meanings of the passage and then provided a translation,The questions asked covers the whole translation and shows me they understood what I was intending to write.,1.0,They were very helpful,It helped me realize that I could better word my translation.,I will follow their suggestions and write with better wording to make the paper more understandable.,5.0,They caught all of my errors.,5.0,They pointed out helpful things.,5.0,They showed me where my substance can be better.,5.0,2.5,4.0,4.0,4.0,2.0,3.0
296,"This piece obviously takes the stronger connotations of words in the translations: I haven't used ""fuck"" in any of my papers; however, the use of the curse word definitely seems to match the tone of the piece and I'm glad the paper took this risk!","How might the clauses within the sentences be re-written in English to remove some of the clunky phrasing? , How might the clauses within the sentences be re-written in English to clarify the syntactic relations between all of the elements?, Might there be enough space to offer a reflection on the translation? ","This draft very clearly provides three passages that are then translated into English. It is also clearly demarcated/structured to indicate the English from the Spanish (though it is easy to distinguish the two anyway, it always helps to help the reader with the layout of the page).",I can tell that the assessor did not understand what I intended to do with my translation draft because the person possibly did not understand the Spanish version of the article.,0.0,It was not as helpful as I expected it to be.,It was not that helpful being that my translation and the original are very similar without taking away what the author originally intended.,"I believe my draft is as professional as it can get. In response to the critique, I do not really need to change it at all.",1.0,There were none given.,2.0,It was an insinuation but not properly assessed.,2.0,"Again, it was not given in a clear review. It was more of a guess.",3.5,4.0,4.5,4.0,4.5,3.0,1.0
299,I really liked how Cayla weaves the translation and analysis together vs. providing straight translation and then the analysis. Very well written with a nice flow!,"Have you thought about adding a title? , I actually chose the exact same article for my reading and while my translation almost exactly matches yours, my analysis is completely different - so interesting! I interpreted her description of imaginary cities to actually be describing and criticizing technology and its impact. Little waiting rooms where people do nothing, cohabitating and making connections immediately, wandering around a useless city taking pictures of monuments to lost time...What are your thoughts about the article's title?, Very well done - I don't have additional questions! Thank you for this alternative interpretation for me to consider!",Cayla provides both an analysis and translation of at least 200 words as required by the assignment.,I can tell that the assessor understood my response because it related to their own paper,1.0,I enjoy when I am given helpful suggestions,it was very specific and gave helpful suggestions,I will include a title which is what the instructions state to do. I really enjoyed hearing the point of view of my peer in their work also.,1.0,catching errors was not provided,5.0,very helpful- gave specific suggestions,5.0,new improvements and suggestions were given,5.0,1.0,1.5,5.0,1.0,1.0,1.0
304,I like the fact that the student included the original paragraph as well as the translation so that the reader had easy acces to a point of reference for the accuracy of the translation.,"Was the entire reading selection difficult or just the paragraphs you selected?, Did you search for resources outside those suggested?, Were there any resources outside of those suggested that may have proved useful?",The draft translates two paragraphs of the original reafing assignment and then provides information on the level of difficulty involved in completing the translation.,They asked me specific questions about my translation.,0.0,I am confident in my translation.,It gave me insightful questions to consider when translating passages in the future.,I will include more references to resources in my draft.,1.0,They did not ask me about such issues.,3.0,They did not ask me or suggest to me any improvements.,3.0,They did not mention this.,4.5,2.5,3.5,3.5,1.0,2.5,3.5
314,I really like how in-depth the author describes their translating process and how they provided a coherent translation as a result.,"You mention you had to take a few liberties when translating the piece. What were these specific liberties?, Were there any specific areas of the text that you had difficulties translating?, I noticed you placed some words in parentheses and even left an ellipsis for one of the sentences. What is your reasoning behind these choices?",The draft follows the requirements of the assignment by providing a 200 + word translation of a Spanish text along with a section where the author reflects on their translating process.,They used specific examples in their feedback.,1.0,They thougjt my translatin was effective.,Good questions that I can use to augment my reflection.,I will augment my reflection paragraph to answer their questions,3.0,Neither too much or too little.,3.0,Neither too much or too little.,4.0,They pointed out some of the anomolies such as parenthesis & elipses,4.5,2.5,3.0,4.5,3.0,1.5,4.0
315,"I really appreciated Jacqueline's reflection of her translation, especially the portion where she discusses the notion of style, and foregoing re-writing some of the sentences in English in a way that better makes sense by English standards in order to keep the translation more accurate. Her translations are also very understandable and clear. ","Which phrases or sentences did you decide to forego re-writing to stay more true to the translation of your chosen reading that you can perhaps include in your reflection?, Where were these chosen paragraphs you translated in regards to the reading as a whole? , Why did you decide to choose these paragraphs specifically? ","Jacqueline's draft follows the requirements of the assignment by translating the title of the reading, three full paragraphs from the reading and including a thorough reflection. ",Yes -seems like they understood exactly what I was going for.,1.0,They thought my translation was clear which is what I was hoping for.,The questions were very insightful & will help me with what I need to add to the next assignment.,I will add more examples to my reflection to answer their questions.,3.0,It was right in the middle.,3.0,Neither too little or too much.,3.0,Neither too little or too much.,5.0,3.0,3.5,4.0,1.0,1.0,2.5
320,I like the fact the she showed her work from Spanish to English very well.,"Why explain what the text is about and not just get to the translation part of it?, If possible, can you avoid the mini intro to one of the paragraphs and jump right into the article’s translation?, What would you change?",It was translated properly and shows what was translated.,Their assessment seemed to match up with the work I submitted.,1.0,Their questions are helpful in allowing me to edit portions of my assignment.,The assessment made me think of different ways to approach the assignment.,I perhaps will revisit my assignment and see if I can make the translation portion shorter and more to the point.,1.0,They did not mention any of the above.,4.0,They brought up suggestions about editing out areas I do not need.,3.0,"They brought up suggestions that would allow me to get more ""to the point"" in my assignment. ",4.0,2.5,3.0,3.5,3.0,4.5,1.5
